roomA,1508109977.66,400
150.810997564,1009.29223633,38.4842643738,30.8891124725
150.810997565,1009.29223633,38.4842643738,30.8891124725
150.810997565,1009.29223633,38.4842643738,30.8891124725
150.810997565,1009.29223633,38.4842643738,30.8891124725
150.810997565,1009.29223633,38.4842643738,30.8891124725
150.810997565,1009.29223633,38.4842643738,30.8891124725
150.810997565,1009.29223633,38.4842643738,30.8891124725
150.810997565,1009.29223633,38.4842643738,30.8891124725
150.810997565,1009.29223633,38.4842643738,30.8891124725
150.810997566,1009.29223633,38.4842643738,30.8891124725
150.810997566,1009.29223633,38.4842643738,30.8891124725
150.810997566,1009.29223633,38.4842643738,30.8891124725
150.810997566,1009.29223633,38.4842643738,30.8891124725
150.810997566,1009.29223633,38.4842643738,30.8891124725
150.810997566,1009.29223633,38.4842643738,30.8891124725
150.810997566,1009.29223633,38.4842643738,30.8891124725
150.810997567,1009.29223633,38.4842643738,30.8891124725
150.810997567,1009.29223633,38.4842643738,30.8891124725
150.810997567,1009.29052734,38.4842643738,30.8891124725
150.810997567,1009.29052734,38.4842643738,30.8708000183
150.810997567,1009.29052734,38.4842643738,30.8708000183
150.810997567,1009.29052734,40.791557312,30.8708000183
150.810997568,1009.29052734,40.791557312,30.8708000183
150.810997568,1009.29052734,40.791557312,30.8708000183
150.810997568,1009.29052734,40.791557312,30.8708000183
150.810997568,1009.29052734,40.791557312,30.8708000183
150.810997568,1009.29052734,40.791557312,30.8708000183
150.810997568,1009.29052734,40.791557312,30.8708000183
150.810997568,1009.29052734,40.791557312,30.8708000183
150.810997569,1009.29052734,40.791557312,30.8708000183
150.810997569,1009.29052734,40.791557312,30.8708000183
150.810997569,1009.29052734,40.791557312,30.8708000183
150.810997569,1009.29052734,40.791557312,30.8708000183
150.810997569,1009.29052734,40.791557312,30.8708000183
150.810997569,1009.29052734,40.791557312,30.8708000183
150.810997569,1009.29052734,40.791557312,30.8708000183
150.81099757,1009.29052734,40.791557312,30.8708000183
150.81099757,1009.29052734,40.791557312,30.8708000183
150.81099757,1009.29052734,40.791557312,30.8708000183
150.81099757,1009.29052734,40.791557312,30.8708000183
150.81099757,1009.29052734,40.791557312,30.8708000183
150.81099757,1009.29052734,40.791557312,30.8708000183
150.81099757,1009.29052734,40.791557312,30.8708000183
150.81099757,1009.29052734,40.791557312,30.8708000183
150.810997571,1009.29052734,40.791557312,30.8708000183
150.810997571,1009.29052734,40.791557312,30.8708000183
150.810997571,1009.2902832,40.791557312,30.8708000183
150.810997571,1009.2902832,40.791557312,30.8708000183
150.810997571,1009.2902832,40.791557312,30.8708000183
150.810997571,1009.2902832,40.791557312,30.8708000183
150.810997572,1009.2902832,40.791557312,30.8708000183
150.810997572,1009.2902832,40.791557312,30.8708000183
150.810997572,1009.2902832,40.791557312,30.8708000183
150.810997572,1009.2902832,40.791557312,30.8708000183
150.810997572,1009.2902832,40.791557312,30.8708000183
150.810997572,1009.2902832,40.791557312,30.8708000183
150.810997572,1009.2902832,40.791557312,30.8708000183
150.810997573,1009.2902832,40.791557312,30.8708000183
150.810997573,1009.2902832,40.791557312,30.8708000183
150.810997573,1009.2902832,40.791557312,30.8708000183
150.810997573,1009.2902832,40.791557312,30.8708000183
150.810997573,1009.2902832,40.791557312,30.8708000183
150.810997573,1009.2902832,40.791557312,30.8708000183
150.810997573,1009.2902832,40.791557312,30.8708000183
150.810997573,1009.2902832,40.791557312,30.8708000183
150.810997574,1009.2902832,40.791557312,30.8708000183
150.810997574,1009.2902832,40.791557312,30.8708000183
150.810997574,1009.2902832,40.791557312,30.8708000183
150.810997574,1009.2902832,40.791557312,30.8708000183
150.810997574,1009.2902832,40.791557312,30.8708000183
150.810997574,1009.2902832,40.791557312,30.8708000183
150.810997574,1009.2902832,40.791557312,30.8708000183
150.810997575,1009.2902832,40.791557312,30.8708000183
150.810997575,1009.2902832,40.791557312,30.8708000183
150.810997575,1009.2902832,40.791557312,30.8708000183
150.810997575,1009.29589844,40.791557312,30.8708000183
150.810997575,1009.29589844,40.791557312,30.9257392883
150.810997575,1009.29589844,38.3435745239,30.9257392883
150.810997576,1009.29589844,38.3435745239,30.9257392883
150.810997576,1009.29589844,38.3435745239,30.9257392883
150.810997576,1009.29589844,38.3435745239,30.9257392883
150.810997576,1009.29589844,38.3435745239,30.9257392883
150.810997576,1009.29589844,38.3435745239,30.9257392883
150.810997576,1009.29589844,38.3435745239,30.9257392883
150.810997576,1009.29589844,38.3435745239,30.9257392883
150.810997577,1009.29589844,38.3435745239,30.9257392883
150.810997577,1009.29589844,38.3435745239,30.9257392883
150.810997577,1009.29589844,38.3435745239,30.9257392883
150.810997577,1009.29589844,38.3435745239,30.9257392883
150.810997577,1009.29589844,38.3435745239,30.9257392883
150.810997577,1009.29589844,38.3435745239,30.9257392883
150.810997577,1009.29589844,38.3435745239,30.9257392883
150.810997578,1009.29589844,38.3435745239,30.9257392883
150.810997578,1009.29589844,38.3435745239,30.9257392883
150.810997578,1009.29589844,38.3435745239,30.9257392883
150.810997578,1009.29589844,38.3435745239,30.9257392883
150.810997578,1009.29589844,38.3435745239,30.9257392883
150.810997578,1009.29589844,38.3435745239,30.9257392883
150.810997578,1009.29589844,38.3435745239,30.9257392883
150.810997578,1009.29589844,38.3435745239,30.9257392883
150.810997579,1009.29589844,38.3435745239,30.9257392883
150.810997579,1009.29589844,38.3435745239,30.9257392883
150.810997579,1009.29589844,38.3435745239,30.9257392883
150.810997579,1009.30029297,38.3435745239,30.9257392883
150.810997579,1009.30029297,38.3435745239,30.9257392883
150.810997579,1009.30029297,38.3435745239,30.9257392883
150.81099758,1009.30029297,38.3435745239,30.9257392883
150.81099758,1009.30029297,38.3435745239,30.9257392883
150.81099758,1009.30029297,38.3435745239,30.9257392883
150.81099758,1009.30029297,38.3435745239,30.9257392883
150.81099758,1009.30029297,38.3435745239,30.9257392883
150.81099758,1009.30029297,38.3435745239,30.9257392883
150.81099758,1009.30029297,38.3435745239,30.9257392883
150.81099758,1009.30029297,38.3435745239,30.9257392883
150.810997581,1009.30029297,38.3435745239,30.9257392883
150.810997581,1009.30029297,38.3435745239,30.9257392883
150.810997581,1009.30029297,38.3435745239,30.9257392883
150.810997581,1009.30029297,38.3435745239,30.9257392883
150.810997581,1009.30029297,38.3435745239,30.9257392883
150.810997581,1009.30029297,38.3435745239,30.9257392883
150.810997581,1009.30029297,38.3435745239,30.9257392883
150.810997582,1009.30029297,38.3435745239,30.9257392883
150.810997582,1009.30029297,38.3435745239,30.9257392883
150.810997582,1009.30029297,38.3435745239,30.9257392883
150.810997582,1009.30029297,38.3435745239,30.9257392883
150.810997582,1009.30029297,38.3435745239,30.9257392883
