roomA,1508110940.09,800
150.81109277,1008.47192383,38.0552406311,30.6173210144
150.811092771,1008.47192383,38.0552406311,30.6173210144
150.811092771,1008.47192383,38.0552406311,30.6173210144
150.811092771,1008.47192383,38.0552406311,30.6173210144
150.811092771,1008.47192383,38.0552406311,30.6173210144
150.811092771,1008.47192383,38.0552406311,30.6173210144
150.811092772,1008.47192383,38.0552406311,30.6173210144
150.811092772,1008.47192383,38.0552406311,30.6173210144
150.811092772,1008.47192383,38.0552406311,30.6173210144
150.811092772,1008.47192383,38.0552406311,30.6173210144
150.811092773,1008.47192383,38.0552406311,30.6173210144
150.811092773,1008.47192383,38.0552406311,30.6173210144
150.811092773,1008.47460938,38.0552406311,30.6173210144
150.811092773,1008.47460938,38.0552406311,30.6173210144
150.811092774,1008.47460938,38.0552406311,30.6173210144
150.811092774,1008.47460938,38.0552406311,30.6173210144
150.811092774,1008.47460938,38.0552406311,30.6173210144
150.811092774,1008.47460938,38.0552406311,30.6173210144
150.811092775,1008.47460938,38.0552406311,30.6173210144
150.811092775,1008.47460938,38.0552406311,30.6173210144
150.811092775,1008.47460938,38.0552406311,30.6173210144
150.811092775,1008.47460938,38.0552406311,30.6173210144
150.811092775,1008.47460938,38.0552406311,30.6173210144
150.811092776,1008.47460938,38.0552406311,30.6173210144
150.811092776,1008.47460938,38.0552406311,30.6173210144
150.811092776,1008.47460938,38.0552406311,30.6173210144
150.811092776,1008.47460938,38.0552406311,30.6351299286
150.811092777,1008.47460938,40.7602043152,30.6351299286
150.811092777,1008.47460938,40.7602043152,30.6351299286
150.811092777,1008.47338867,40.7602043152,30.6351299286
150.811092778,1008.47338867,40.7602043152,30.6351299286
150.811092778,1008.47338867,40.7602043152,30.6351299286
150.811092778,1008.47338867,40.7602043152,30.6351299286
150.811092778,1008.47338867,40.7602043152,30.6351299286
150.811092778,1008.47338867,40.7602043152,30.6351299286
150.811092779,1008.47338867,40.7602043152,30.6351299286
150.811092779,1008.47338867,40.7602043152,30.6351299286
150.81109278,1008.47338867,40.7602043152,30.6351299286
150.81109278,1008.47338867,40.7602043152,30.6351299286
150.81109278,1008.47338867,40.7602043152,30.6351299286
150.81109278,1008.47338867,40.7602043152,30.6351299286
150.81109278,1008.47338867,40.7602043152,30.6351299286
150.811092781,1008.47338867,40.7602043152,30.6351299286
150.811092781,1008.47338867,40.7602043152,30.6351299286
150.811092781,1008.47338867,40.7602043152,30.6351299286
150.811092781,1008.47460938,40.7602043152,30.6351299286
150.811092782,1008.47460938,40.7602043152,30.6351299286
150.811092782,1008.47460938,40.7602043152,30.6351299286
150.811092782,1008.47460938,40.7602043152,30.6351299286
150.811092782,1008.47460938,40.7602043152,30.6351299286
150.811092783,1008.47460938,40.7602043152,30.6351299286
150.811092783,1008.47460938,40.7602043152,30.6351299286
150.811092783,1008.47460938,40.7602043152,30.6351299286
150.811092783,1008.47460938,40.7602043152,30.6351299286
150.811092784,1008.47460938,40.7602043152,30.6351299286
150.811092784,1008.47460938,40.7602043152,30.6351299286
150.811092784,1008.47460938,40.7602043152,30.6351299286
150.811092784,1008.47460938,40.7602043152,30.7776145935
150.811092785,1008.47460938,38.803352356,30.7776145935
150.811092785,1008.47460938,38.803352356,30.7776145935
150.811092785,1008.47460938,38.803352356,30.7776145935
150.811092785,1008.47460938,38.803352356,30.7776145935
150.811092785,1008.47485352,38.803352356,30.7776145935
150.811092786,1008.47485352,38.803352356,30.7776145935
150.811092786,1008.47485352,38.803352356,30.7776145935
150.811092786,1008.47485352,38.803352356,30.7776145935
